Date,Sigma,UpperBound,LowerBound
2025-06-16,0.0028891413863740834,6021.34640488379,5960.210195670955
2025-06-17,0.0038912631326024627,6056.857351515474,5991.354752697563
2025-06-18,0.004406367889677594,6014.315199033444,5955.700901237439
2025-06-20,0.0036220849636708075,6021.4012360860115,5958.668814471235
2025-06-23,0.003942061363672122,5993.202727027899,5944.812281846688
2025-06-24,0.004822826782446239,6094.270560517518,5995.693674342457
2025-06-25,0.004799489788195903,6133.52716992481,6064.035151050773
2025-06-26,0.004411908710625134,6141.868473777456,6066.974309869111
2025-06-27,0.004425566508652927,6177.92052810164,6115.435543321498
2025-06-30,0.004328824461911252,6220.169830958842,6145.2528391995465
2025-07-01,0.004085606011119241,6228.945563505814,6161.971334207702
2025-07-02,0.003884270096303858,6221.653153091909,6169.821180403594
2025-07-03,0.004000159111396096,6271.446794664214,6202.359948623499
